food_id,Menu,Ingredient,Amount_g,식품코드,영양성분함량기준량,에너지(kcal),탄수화물(g),당류(g),식이섬유(g),단백질(g),지방(g),포화지방(g),나트륨(mg),칼슘(mg),콜레스테롤,칼륨(mg)
C170200003,백김치_다지기,무,10,R106-065027601-0000,100,20,4.34,1.79,1.1,0.67,0.12,0.02,9,23,0,261
C170200003,백김치_다지기,미나리,5,R106-077030001-0000,100,22,4.45,2.69,3.5,1.81,0.25,0.05,5,45,0,271
C170200003,백김치_다지기,밤,1,R105-014000001-0000,100,151,33.39,4.95,5.4,3.28,0.5,0.13,1,16,0,439
C170200003,백김치_다지기,배,20,R108-038000001-0000,100,45,12.24,8.3,1.1,0.29,0.04,0.01,0,2,0,124
C170200003,백김치_다지기,배추,60,R106-087003401-0000,100,15,3.35,2.33,2,1.25,0.05,0.01,11,42,0,220
C170200003,백김치_다지기,새우젓(국물),1,R211-717254071-0000,100,44,1.2,0,0,8.09,0.32,0.13,8003,441,0,214
C170200003,백김치_다지기,생강,0.5,R106-101002501-0000,100,42,9.82,0.45,2.6,0.97,0.15,0.06,4,18,0,337
C170200003,백김치_다지기,쪽파,3,R106-191030001-0000,100,21,4.24,1.17,1.1,1.73,0.14,0.04,0,72,0,324
A040300056,야채죽_갈아서,애호박,20,R106-198050001-0000,100,22,5.14,2.43,2.2,1.07,0.09,0.03,0,15,0,224
A040300056,야채죽_갈아서,양파,20,R106-132000001-0000,100,29,6.67,5.74,1.7,0.95,0.04,0.01,3,15,0,145
A040300056,야채죽_갈아서,백미,45,R101-008000301-0000,100,366,78.74,0.5,1.9,6.81,1.05,0.3,2,7,0,88
A040300056,야채죽_갈아서,소금,0.3,R318-020030000-0000,100,20,4.95,0,0,0.03,0,0,33811,128,0,437
A040300056,야채죽_갈아서,들기름(볶음용),5,R114-003000000-0000,100,920,0.08,0,0,0,99.92,8.81,0,0,0,0
B05090003802,들깨무채국_국물만,멸치액젓,9,R211-105034077-0000,100,39,0,0,0,8.6,0.1,0,0,730,0,0
B05090003802,들깨무채국_국물만,들깨가루,7,R105-005000058-0000,100,530,35.53,1.48,22,23.59,36.23,2.86,5,416,0,599
C12020063702,제육볶음_갈아서,고춧가루,3,R118-007000006-0000,100,319,60.62,17.45,37.7,13.29,8.4,1.48,13,79,0,2541
C12020063702,제육볶음_갈아서,당근,10,R106-041007601-0000,100,31,7.03,6.23,3.1,1.02,0.13,0.03,23,24,0,299
C12020063702,제육볶음_갈아서,대파(다진것),6,R106-191040001-0000,100,23,4.8,2.63,1.6,1.78,0.15,0.07,0,24,0,181
C12020063702,제육볶음_갈아서,돼지고기(목살),90,R209-014008401-0000,100,227,0,0,0,17.21,16.36,5.91,51,8,65,301
C12020063702,제육볶음_갈아서,마늘(다진것),1,R106-053002201-0000,100,128,26.42,0.23,3.8,7.45,0.16,0.06,3,12,0,531
C12020063702,제육볶음_갈아서,백설탕,4,R103-011020000-0000,100,386,99.8,99.7,0,0,0,0,2,6,0,1
C12020063702,제육볶음_갈아서,생강(다진것),3,R106-101002501-0000,100,42,9.82,0.45,2.6,0.97,0.15,0.06,4,18,0,337
C12020063702,제육볶음_갈아서,소금,1,R318-020030000-0000,100,20,4.95,0,0,0.03,0,0,33811,128,0,437
C12020063702,제육볶음_갈아서,양배추,20,R106-129000001-0000,100,33,7.92,4.79,2.7,1.68,0.08,0.03,8,45,0,241
C12020063702,제육볶음_갈아서,양파,20,R106-132000001-0000,100,29,6.67,5.74,1.7,0.95,0.04,0.01,3,15,0,145
C12020063702,제육볶음_갈아서,참기름,1,R114-020000000-0000,100,920,0.13,0,0,0,99.84,14.89,0,0,0,0
C12020063702,제육볶음_갈아서,참깨,1,R105-026020058-0000,100,557,21.83,0,14.1,25.96,45.11,7.1,2,854,0,459
C12020063702,제육볶음_갈아서,풋고추,3,R106-018073101-0000,100,26,6,0,5.6,1.2,0.2,0,0,13,0,231
C12030007202,가지굴소스볶음_갈아서,가지,70,R106-003000001-0000,100,19,4.36,2.32,2.7,1.13,0.03,0.03,0,16,0,232
C12030007202,가지굴소스볶음_갈아서,고춧가루,1,R118-007000006-0000,100,319,60.62,17.45,37.7,13.29,8.4,1.48,13,79,0,2541
C12030007202,가지굴소스볶음_갈아서,마늘(다진것),3,R106-053002201-0000,100,128,26.42,0.23,3.8,7.45,0.16,0.06,3,12,0,531
C12030007202,가지굴소스볶음_갈아서,참기름,3,R114-020000000-0000,100,920,0.13,0,0,0,99.84,14.89,0,0,0,0
C12030007202,가지굴소스볶음_갈아서,참깨,0.5,R105-026020058-0000,100,557,21.83,0,14.1,25.96,45.11,7.1,2,854,0,459
C17020000301,백김치_국물만,굵은소금(1),3,R318-020000000-0000,100,0,0,0,0,0,0,0,33597,40,0,135
C17020000301,백김치_국물만,마늘,0.5,R106-053002201-0000,100,128,26.42,0.23,3.8,7.45,0.16,0.06,3,12,0,531
C17020000301,백김치_국물만,무,10,R106-065027601-0000,100,20,4.34,1.79,1.1,0.67,0.12,0.02,9,23,0,261
C17020000301,백김치_국물만,미나리,5,R106-077030001-0000,100,22,4.45,2.69,3.5,1.81,0.25,0.05,5,45,0,271
C17020000301,백김치_국물만,밤,1,R105-014000001-0000,100,151,33.39,4.95,5.4,3.28,0.5,0.13,1,16,0,439
C17020000301,백김치_국물만,배,20,R108-038000001-0000,100,45,12.24,8.3,1.1,0.29,0.04,0.01,0,2,0,124
C17020000301,백김치_국물만,배추,60,R106-087003401-0000,100,15,3.35,2.33,2,1.25,0.05,0.01,11,42,0,220
C17020000301,백김치_국물만,새우젓(국물),1,R211-717254071-0000,100,44,1.2,0,0,8.09,0.32,0.13,8003,441,0,214
C17020000301,백김치_국물만,생강,0.5,R106-101002501-0000,100,42,9.82,0.45,2.6,0.97,0.15,0.06,4,18,0,337
C17020000301,백김치_국물만,쪽파,3,R106-191030001-0000,100,21,4.24,1.17,1.1,1.73,0.14,0.04,0,72,0,324
B050900038,들깨무채국,육수,250,DB 없음,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C120200637,제육볶음,고추장,7,P112-010001000-0005,100,205,51.76,21.84,5.2,3.66,1.38,0.32,2486,25,0,422
C120200637,제육볶음,식용유(볶음용),3,P107-101010100-0023,100,828,0,0,,0,92,15,0,,0,
C120200637,제육볶음,진간장,5,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
C120300072,가지굴소스볶음,굴소스,4,P113-206020400-0041,100,219,52.08,9.21,0,2.49,0.05,0.02,4608,12,0,138
C120300072,가지굴소스볶음,식용유,3,P107-101010100-0023,100,828,0,0,,0,92,15,0,,0,
C120300072,가지굴소스볶음,진간장,4,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
C160100098,치커리파프리카유자샐러드,이탈리안드레싱,10,P113-205020400-0032,100,155,16.92,9.44,0,0.33,9.54,0.75,926,12,0,54
C160100072,치커리사과유자샐러드,이탈리안드레싱,20,P113-205020400-0032,100,155,16.92,9.44,0,0.33,9.54,0.75,926,12,0,54
B05090003801,들깨무채국_건더기잘게,육수,250,DB 없음,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C12020063701,제육볶음_다지기,고추장,7,P112-010001000-0005,100,205,51.76,21.84,5.2,3.66,1.38,0.32,2486,25,0,422
C12020063701,제육볶음_다지기,식용유(볶음용),3,P107-101010100-0023,100,828,0,0,,0,92,15,0,,0,
C12020063701,제육볶음_다지기,진간장,5,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
C090600016,연두부*간장만_그대로,연두부,100,P106-001000100-0066,100,50,1.4,0,,5.3,2.6,2.6,4,,0,
C090600016,연두부*간장만_그대로,진간장,2,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
